baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000024331.11	737.194896615317	5.55967981482158	0.219962444973943	25.2755865460587	5.92790548203182e-141	3.31594215571926e-138
ENSMUSG00000043439.5	662.459992085104	5.18317924272243	0.20515955032692	25.2641382497821	7.92022368667081e-141	4.31381235902699e-138
ENSMUSG00000031297.14	807.957499545751	3.91266997169356	0.154903439382768	25.2587675734256	9.07299554379198e-141	4.81496894281699e-138
ENSMUSG00000018166.8	701.345697543233	6.82063884800162	0.270504621613506	25.2145002452005	2.77770311207488e-140	1.43725303276534e-137
ENSMUSG00000020911.14	1714.46635575418	3.62891381155235	0.144248581414307	25.1573622143948	1.17395142103198e-139	5.92616403929243e-137
ENSMUSG00000074227.12	756.433214757162	3.90669320362231	0.156046894544044	25.0353793648848	2.51925278325593e-138	1.24145178226305e-135
ENSMUSG00000022123.9	575.638511093129	4.74964119133695	0.189918695684642	25.0088132409233	4.90257607764964e-138	2.35973528090964e-135
ENSMUSG00000018849.6	1065.02896973496	3.63681111591448	0.145664956111558	24.9669598851849	1.39748226186523e-137	6.57356599405108e-135
ENSMUSG00000115388.2	609.945107211733	6.50436974240822	0.260545140521364	24.9644638521856	1.48748553505296e-137	6.84144180422023e-135
ENSMUSG00000074272.10	530.269762861319	4.94719809351882	0.198941515464924	24.8676003194068	1.66834498912041e-136	7.506464399962e-134
ENSMUSG00000022218.16	1177.20779783493	8.46621821757421	0.341552695539738	24.7874437184443	1.22452736172828e-135	5.39234953312558e-133
ENSMUSG00000030494.13	533.906323018402	5.79072787476965	0.23657621657562	24.4772190484274	2.58289208125873e-132	1.11371077928775e-129
ENSMUSG00000026479.13	666.158702883523	3.26678694774436	0.135083449363239	24.1834729801724	3.32055144485773e-129	1.40256027049429e-126
ENSMUSG00000019866.15	1655.15371636704	2.95569005581155	0.122397893016841	24.1482102588553	7.79699534627248e-129	3.22748825363603e-126
ENSMUSG00000035557.9	5647.17240542647	11.8828861182473	0.493664642647881	24.0707660457731	5.06064995501284e-128	2.0537308258608e-125
ENSMUSG00000026639.18	433.832122057351	4.26901942714461	0.177966753968076	23.9877355290212	3.73412855290728e-127	1.48625497422158e-124
ENSMUSG00000038807.19	1122.55579188947	2.96845674623737	0.123838104185691	23.9704634188058	5.6542186816124e-127	2.20802573685532e-124
ENSMUSG00000029019.8	424.338562428312	5.45080591184303	0.228305435006519	23.8750597929803	5.56284247397143e-126	2.13211390155161e-123
ENSMUSG00000056413.16	488.245514677499	5.94411370824557	0.254263211461387	23.3777968668041	7.19008898335651e-121	2.70569584888236e-118
ENSMUSG00000015468.14	471.24422707294	5.99045850235829	0.256291273625407	23.3736342935885	7.9262822269258e-121	2.92946898661934e-118
ENSMUSG00000063011.7	8525.8689878833	1.94745453605653	0.083843194934615	23.2273416772255	2.41080059318621e-119	8.75374383810088e-117
ENSMUSG00000005968.14	903.742948454658	2.83201619300278	0.122275674218197	23.1609125127303	1.12861789543021e-118	4.027414583055e-116
ENSMUSG00000046410.10	441.11482902278	4.2694126142756	0.184728128538019	23.1118706613048	3.51752318047627e-118	1.23393520790368e-115
ENSMUSG00000041607.17	443.687146886751	5.01815755590576	0.217559194295566	23.0657112523055	1.0231936186686e-117	3.52950638759733e-115
ENSMUSG00000024479.3	754.794369247554	7.38555218065165	0.32113964823487	22.997945663969	4.88722868096783e-117	1.65821265590149e-114
ENSMUSG00000018920.11	364.331335751449	3.70671454051792	0.163678941876494	22.6462518514745	1.51896301606106e-113	5.07064153926061e-111
ENSMUSG00000042377.8	352.820792347678	4.35575390757005	0.193122942067788	22.5543058785897	1.21835305907577e-112	4.00257988312558e-110
ENSMUSG00000030513.14	1240.47105001493	2.47543652138763	0.109882217560031	22.5280903166634	2.2024902303082e-112	7.12264692135761e-110
ENSMUSG00000021118.7	402.484694306151	5.27430107252221	0.234194032040591	22.5210737718887	2.58039805421639e-112	8.21638438894103e-110
